INSTANCE	Status MtMS	Cost SOC MtMS	Time SOC MtMS	Status ASP Base E	Cost SOC Status ASP Base E	Time SOC ASP Base E	Status Base F	Cost SOC Base F	Time SOC Base F	Status CBS	Cost SOC CBS	Time SOC CBS	Status BCP	Cost SOC BCP	Time SOC BCP
Instance-20-10-54-1_enc1	0	702	9,15	0	702	552,542196512222	0	702	26,1264727115631	3	-1	600	0	702	1,18
Instance-20-10-54-2_enc1	0	743	29,02	1	743	600	0	743	30,7662856578827	3	-1	600	0	743	1,09
Instance-20-10-54-3_enc1	0	743	23,47	0	743	160,359367609024	0	743	22,3815944194794	3	-1	600	0	743	1,67
Instance-20-10-54-4_enc1	0	679	4,51	0	679	47,3368761539459	0	679	13,2649013996124	0	679	336,986	0	679	0,2
Instance-20-10-54-5_enc1	0	740	5,58	0	740	38,381991147995	0	740	16,7097902297974	3	-1	600	0	740	0,49
Instance-20-10-54-6_enc1	0	787	7,48	0	787	256,232275485992	0	787	22,2553818225861	3	-1	600	0	787	0,75
Instance-20-10-54-7_enc1	0	773	29,94	0	773	182,176697731018	0	773	30,0250573158264	3	-1	600	0	773	2,94
Instance-20-10-54-8_enc1	0	776	36,54	1	776	600	0	776	29,1487987041473	3	-1	600	0	776	19,28
Instance-20-10-54-9_enc1	0	717	5,29	0	717	30,4505844116211	0	717	13,0121939182281	0	717	20,8959	0	717	0,1
Instance-20-10-56-0_enc1	0	791	26,19	1	791	600	0	791	22,0459291934967	3	-1	600	0	790,999999999884	7,61
Instance-20-10-56-1_enc1	0	845	112,13	1	855	600	0	845	67,2796478271484	3	-1	600	0	845	107,75
Instance-20-10-56-2_enc1	0	754	25,55	1	754	600	0	754	27,1813111305237	3	-1	600	0	754	1,84
Instance-20-10-56-3_enc1	0	724	10,6	0	724	64,5304763317108	0	724	16,1045994758606	3	-1	600	0	724	4,7
Instance-20-10-56-4_enc1	0	749	4,1	0	749	25,7042758464813	0	749	10,5667688846588	3	-1	600	0	749	9,34
Instance-20-10-56-5_enc1	0	765	252,33	1	769	600	0	765	97,1470403671265	3	-1	600	0	765	139,24
